URL,Date,Type d'URL,Type d'acteurs,Thème,Position,Poids,Lu,Position/IVG,Notes
https://twitter.com/bzavier/status/835888009409089536,26/02/2017,Tweet,Média,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,Question du support
https://www.buzzfeed.com/davidperrotin/le-livret-distribue-par-ce-lycee-catho-affirme-que-lhomosexu?utm_term=.bpLQ2jZ24#.vaplMWnMP,24/02/2017,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
https://www.youtube.com/watch?v=PsOlRGAHE9c,06/12/2017,Youtube,Religieux,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Pour,
https://www.youtube.com/watch?v=J9To9QM9Stc,01/12/2017,Youtube,Instance politique,Infantilisation des femmes,Contre l'extension du délit d'entrave,Fort,Oui,Pour,Intervention de Marion Maréchal-Lepen
https://twitter.com/CDonneuse/status/832966048328593408,18/02/2017,Tweet,Militante féministe,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,Prise de parole d'une gynécologue-obstrécienne
https://twitter.com/MardiPolitique/status/829384399141687310,08/02/2017,Tweet,Instance politique,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,Intervention de Laurence Rossignol
http://www.huffingtonpost.fr/2017/02/16/quatre-mensonges-des-sites-vises-par-lextension-du-delit-dentr/,16/02/2017,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://www.sciencesetavenir.fr/sante/l-extension-du-delit-d-entrave-a-l-ivg-promulguee_111459,21/03/2017,Article,Média,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,Adoption de la loi dans sa nouvelle forme
https://www.youtube.com/watch?v=3x0vd09LOOk,01/02/2017,Youtube,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Non,Contre,Marche pour la vie
https://twitter.com/allianceVITA/status/824667353757708288,26/01/2017,Tweet,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Non,Contre,
http://www.alliancevita.org/2017/01/cp-delit-dentrave-ivg-vita-denonce-un-texte-redoutable-pour-la-liberte-dexpression-et-la-liberte-dinformation-des-femmes/,26/01/2017,Article,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Non,Contre,
https://twitter.com/FranckDebeaud/status/823160604768747520,22/01/2017,Tweet,Instance politique,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
https://www.lerougeetlenoir.org/opinions/les-inquisitoriales/emile-duport-delit-d-entrave-il-y-a-comme-un-traumatisme-public-c-est-pour-moi-la-seule-explication-a-cette-demence-juridique?utm_source=dlvr.it&utm_medium=twitter,18/01/2017,Blog,Association,Juridique,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,"Blog rédigé par la porte parole des ""Survivants"""
https://twitter.com/allianceVITA/status/821104122304856066,16/01/2017,Tweet,Association,Désinformation,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
https://twitter.com/allianceVITA/status/821088865075286016,16/01/2017,Tweet,Association,Liberté d'expression,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
http://www.lemonde.fr/les-decodeurs/article/2016/12/07/ivg-net-sosbebe-org-ecouteivg-org-les-sites-faux-nez-des-anti-ivg_5044556_4355770.html,07/12/2017,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://twitter.com/acidkaustic/status/806554711759421440,07/12/2017,Tweet,Particulier,Désinformation,Pour l'extension du délit d'entrave,faible,Oui,Pour,Tweet d'un article du Monde sur les sites anti-ivg
https://twitter.com/Azur8306/status/806425464885706752,07/12/2017,Tweet,Particulier,Désinformation,Pour l'extension du délit d'entrave,Faible,Oui,Pour,Tweet d'un article du Monde sur le site ivg.net
http://www.lemonde.fr/les-decodeurs/article/2016/12/07/ivg-net-le-site-tres-oriente-d-un-couple-de-militants-catholiques_5044551_4355770.html,07/12/2017,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,Enquete sur les administrateurs du site ivg.net
